Coil 1 current	Coil 2 current	Bias Voltage	Value3	MDX 2 Current	MDX 2 Power	MDX 2 Voltage	MDX 1 Current		
Value10		Value11	Value12	Value13			MDX 1 Power	MDX 1 Voltage	N2 Flow (SCCM)	AR Flow (SCCM)
9,910626411E-1	-9,712410552E-3	-5,378151261E-3	1,176052164E-1	-4,286465900E-1	-4,734335228E+0	-1,417064751E-1	1,874542348E-2	-1,025456490E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579882299E+0	2,611739600E+0	4,992894375E+0	0,000000000E+0	0,000000000E+0	-1,170349191E-1	2,209282053E-1	-7,733726962E-1	-3,516998501E-1
1,993100166E+0	-8,291626471E-3	-7,748604283E-3	1,019840301E-1	3,438235488E-1	-5,231733634E+0	-1,391029441E-1	1,725769146E-2	-9,878292673E+0	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,580121576E+0	2,620184959E+0	4,992917931E+0	0,000000000E+0	0,000000000E+0	-1,307964403E-1	2,523193510E-1	-7,694054109E-1	-3,290367323E-1
3,007164001E+0	-8,405685926E-3	-6,679916780E-3	1,044387880E-1	1,944081422E-1	-4,930343922E+0	-1,255893782E-1	7,870102398E-2	-9,876556985E+0	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579980241E+0	2,616656555E+0	4,992972481E+0	0,000000000E+0	0,000000000E+0	-1,181507181E-1	1,642456153E-1	-7,539329978E-1	-3,433437552E-1
4,008264065E+0	-8,108139521E-3	-5,388069474E-3	1,011657775E-1	-1,698196512E-1	-4,732475563E+0	-1,361274800E-1	1,733207806E-1	-1,005496085E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,580079423E+0	2,614734901E+0	4,992952644E+0	0,000000000E+0	0,000000000E+0	-1,191425395E-1	2,210769785E-1	-7,635784604E-1	-3,390541279E-1
5,006299973E+0	-8,579254662E-3	-7,922173019E-3	1,125469275E-1	1,128977843E-1	-5,377779327E+0	-1,254654005E-1	-1,205062938E-2	-9,991484284E+0	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579731046E+0	2,076912336E+0	4,992678654E+0	0,000000000E+0	0,000000000E+0	-1,045751634E-1	1,931076165E-1	-7,773399816E-1	-3,531875821E-1
6,055368900E+0	-8,199882996E-3	-7,438660111E-3	1,054058138E-1	7,707071764E-2	-5,335131010E+0	-1,460456935E-1	1,576995944E-2	-1,001442015E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579732286E+0	2,179038941E+0	4,992873299E+0	0,000000000E+0	0,000000000E+0	-1,026535095E-1	1,571045016E-1	-7,728271945E-1	-3,461952416E-1
7,029400349E+0	-8,879280620E-3	-7,391548597E-3	1,142578193E-1	-5,550678584E-1	-4,268923060E+0	-1,412725533E-1	6,114578612E-2	-1,001578391E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579649221E+0	2,257015935E+0	4,992449295E+0	0,000000000E+0	0,000000000E+0	-1,354456029E-1	1,759986982E-1	-7,593632197E-1	-3,397484028E-1
8,036467075E+0	-7,827949991E-3	-6,821251322E-3	1,148529121E-1	-2,819996048E-1	-4,201851142E+0	-1,467275707E-1	6,873321943E-2	-1,005000174E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579706250E+0	2,332903906E+0	4,992702210E+0	0,000000000E+0	0,000000000E+0	-1,407766426E-1	2,215232981E-1	-7,721081240E-1	-3,259124950E-1
9,037499905E+0	-8,127975948E-3	-4,125976808E-3	1,058521334E-1	4,486640244E-1	-5,421171511E+0	-1,378631674E-1	1,041412416E-3	-9,968672393E+0	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579912053E+0	2,383584737E+0	4,992638981E+0	0,000000000E+0	0,000000000E+0	-1,045131746E-1	2,277717726E-1	-7,983665942E-1	-3,250694469E-1
1,000056314E+1	-7,733726962E-3	-6,310463328E-3	1,060752932E-1	-3,963504074E-1	-4,568205152E+0	-1,396608436E-1	2,915954764E-2	-1,015996994E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579582273E+0	2,419363452E+0	4,992515003E+0	0,000000000E+0	0,000000000E+0	-1,193285060E-1	2,185478341E-1	-7,355347118E-1	-3,359794817E-1
1,099259996E+1	-7,612228847E-3	-9,045410695E-3	1,048851076E-1	-3,756647334E-1	-4,216480506E+0	-1,319122393E-1	5,980682730E-2	-1,002111495E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579895936E+0	2,465026907E+0	4,992880737E+0	0,000000000E+0	0,000000000E+0	-1,227378918E-1	1,803131211E-1	-7,643719175E-1	-3,445587364E-1
1,199166250E+1	-7,954407212E-3	-8,001518726E-3	1,058521334E-1	-3,398252690E-1	-4,584694182E+0	-1,485252469E-1	3,882980578E-2	-1,018798889E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579789315E+0	2,480762153E+0	4,992574513E+0	0,000000000E+0	0,000000000E+0	-1,084184711E-1	1,922149773E-1	-7,885227673E-1	-3,222179605E-1
1,300876427E+1	-7,604790187E-3	-7,089043086E-3	1,091251438E-1	-3,251574710E-1	-4,942865666E+0	-1,433801736E-1	-1,011657775E-1	-1,011942924E+1	0,000000000E+0	0,000000000E+0	0,000000000E+0	2,579842626E+0	2,502298314E+0	4,992502605E+0	0,000000000E+0	0,000000000E+0	-1,146793434E-1	1,611213780E-1	-7,616692043E-1	-3,400211537E-1
